epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,45.5653,0.44195,0.95625,1,0.12176,0.00023764,0.00023764,0.00023764
2,85.7472,0.21691,0.96686,1,0.10275,0.000466222,0.000466222,0.000466222
3,125.143,0.2312,0.95846,1,0.11549,0.00068538,0.00068538,0.00068538
4,162.625,0.20295,0.97702,1,0.07964,0.000671588,0.000671588,0.000671588
5,199.732,0.17539,0.96642,1,0.08916,0.000657451,0.000657451,0.000657451
6,236.513,0.15543,0.97614,1,0.07351,0.000643314,0.000643314,0.000643314
7,273.308,0.13453,0.98011,1,0.06123,0.000629177,0.000629177,0.000629177
8,310.09,0.12917,0.97879,1,0.0657,0.00061504,0.00061504,0.00061504
9,346.756,0.12325,0.9673,1,0.1067,0.000600902,0.000600902,0.000600902
10,383.608,0.10916,0.98409,1,0.05961,0.000586765,0.000586765,0.000586765
11,420.459,0.11473,0.97658,1,0.05877,0.000572628,0.000572628,0.000572628
12,457.479,0.10516,0.97879,1,0.06681,0.000558491,0.000558491,0.000558491
13,494.392,0.09897,0.98011,1,0.05702,0.000544354,0.000544354,0.000544354
14,531.418,0.09904,0.97702,1,0.06032,0.000530216,0.000530216,0.000530216
15,568.169,0.09754,0.98056,1,0.05899,0.000516079,0.000516079,0.000516079
16,605.043,0.09731,0.98498,1,0.0455,0.000501942,0.000501942,0.000501942
17,642.022,0.09796,0.98144,1,0.05609,0.000487805,0.000487805,0.000487805
18,678.988,0.09319,0.98188,1,0.0528,0.000473668,0.000473668,0.000473668
19,716.05,0.08364,0.98453,1,0.04997,0.00045953,0.00045953,0.00045953
20,753.009,0.09028,0.98542,1,0.04538,0.000445393,0.000445393,0.000445393
21,789.918,0.07979,0.98409,1,0.05333,0.000431256,0.000431256,0.000431256
22,827.074,0.07918,0.98498,1,0.04763,0.000417119,0.000417119,0.000417119
23,864.093,0.07993,0.98409,1,0.05423,0.000402982,0.000402982,0.000402982
24,900.93,0.07364,0.98674,1,0.04232,0.000388844,0.000388844,0.000388844
25,938.175,0.07383,0.98321,1,0.04676,0.000374707,0.000374707,0.000374707
26,975.193,0.06368,0.98586,1,0.05001,0.00036057,0.00036057,0.00036057
27,1012.01,0.06878,0.98232,1,0.04442,0.000346433,0.000346433,0.000346433
28,1049.23,0.06844,0.98321,1,0.04683,0.000332296,0.000332296,0.000332296
29,1086.25,0.05711,0.98498,1,0.04425,0.000318158,0.000318158,0.000318158
30,1123.27,0.06153,0.98365,1,0.05405,0.000304021,0.000304021,0.000304021
31,1160.44,0.06077,0.98674,1,0.04379,0.000289884,0.000289884,0.000289884
32,1197.63,0.06247,0.98498,1,0.04628,0.000275747,0.000275747,0.000275747
33,1234.69,0.05583,0.98586,1,0.04856,0.00026161,0.00026161,0.00026161
34,1272.74,0.04939,0.98719,1,0.04171,0.000247472,0.000247472,0.000247472
35,1309.74,0.04732,0.98763,1,0.04244,0.000233335,0.000233335,0.000233335
36,1346.33,0.05137,0.98851,1,0.0394,0.000219198,0.000219198,0.000219198
37,1384.25,0.04442,0.98895,1,0.04053,0.000205061,0.000205061,0.000205061
38,1421.78,0.0395,0.98851,1,0.03906,0.000190924,0.000190924,0.000190924
39,1459.41,0.04139,0.98851,1,0.04429,0.000176786,0.000176786,0.000176786
40,1497.03,0.03912,0.98807,1,0.04253,0.000162649,0.000162649,0.000162649
41,1539.79,0.04397,0.98674,1,0.04618,0.000148512,0.000148512,0.000148512
42,1580.24,0.03545,0.98939,1,0.04242,0.000134375,0.000134375,0.000134375
43,1619.89,0.03264,0.98851,1,0.0458,0.000120238,0.000120238,0.000120238
44,1656.7,0.04127,0.98807,1,0.04416,0.0001061,0.0001061,0.0001061
45,1692.83,0.0266,0.98719,1,0.04793,9.19632e-05,9.19632e-05,9.19632e-05
46,1726.96,0.02724,0.98674,1,0.04765,7.7826e-05,7.7826e-05,7.7826e-05
47,1760.88,0.02574,0.9863,1,0.04992,6.36888e-05,6.36888e-05,6.36888e-05
48,1794.76,0.02362,0.98674,1,0.04945,4.95516e-05,4.95516e-05,4.95516e-05
49,1830.68,0.02774,0.98674,1,0.05091,3.54144e-05,3.54144e-05,3.54144e-05
50,1864.74,0.02134,0.98586,1,0.05167,2.12772e-05,2.12772e-05,2.12772e-05
