epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,53.0448,0.46347,0.95669,1,0.13414,0.00023764,0.00023764,0.00023764
2,97.4573,0.19437,0.96818,1,0.08765,0.000466222,0.000466222,0.000466222
3,141.041,0.19363,0.95493,1,0.11192,0.00068538,0.00068538,0.00068538
4,183.994,0.17747,0.96421,1,0.09526,0.000671588,0.000671588,0.000671588
5,227.742,0.153,0.97349,1,0.07497,0.000657451,0.000657451,0.000657451
6,269.923,0.14599,0.97702,1,0.06513,0.000643314,0.000643314,0.000643314
7,312.883,0.12095,0.97172,1,0.07506,0.000629177,0.000629177,0.000629177
8,355.82,0.12408,0.97614,1,0.07047,0.00061504,0.00061504,0.00061504
9,397.618,0.11287,0.97879,1,0.0681,0.000600902,0.000600902,0.000600902
10,439.991,0.1069,0.97923,1,0.05832,0.000586765,0.000586765,0.000586765
11,480.219,0.10665,0.97702,1,0.06469,0.000572628,0.000572628,0.000572628
12,522.006,0.09912,0.97923,1,0.05864,0.000558491,0.000558491,0.000558491
13,563.862,0.09584,0.98232,1,0.05359,0.000544354,0.000544354,0.000544354
14,606.191,0.09363,0.98011,1,0.0653,0.000530216,0.000530216,0.000530216
15,648.147,0.08883,0.981,1,0.06654,0.000516079,0.000516079,0.000516079
16,689.973,0.08511,0.98277,1,0.05023,0.000501942,0.000501942,0.000501942
17,731.841,0.08401,0.97967,1,0.06301,0.000487805,0.000487805,0.000487805
18,773.933,0.08275,0.98144,1,0.0598,0.000473668,0.000473668,0.000473668
19,818.488,0.07644,0.98498,1,0.04881,0.00045953,0.00045953,0.00045953
20,863.776,0.08185,0.97746,1,0.0643,0.000445393,0.000445393,0.000445393
21,908.492,0.07402,0.98321,1,0.05426,0.000431256,0.000431256,0.000431256
22,951.241,0.07102,0.98321,1,0.05401,0.000417119,0.000417119,0.000417119
23,994.25,0.07104,0.98498,1,0.05148,0.000402982,0.000402982,0.000402982
24,1035.84,0.06703,0.98719,1,0.05038,0.000388844,0.000388844,0.000388844
25,1075.72,0.06036,0.9863,1,0.05161,0.000374707,0.000374707,0.000374707
26,1115.26,0.05864,0.9863,1,0.04638,0.00036057,0.00036057,0.00036057
27,1155,0.05841,0.98365,1,0.04984,0.000346433,0.000346433,0.000346433
28,1194.84,0.05861,0.98188,1,0.0547,0.000332296,0.000332296,0.000332296
29,1234.49,0.05283,0.98321,1,0.04984,0.000318158,0.000318158,0.000318158
30,1274.33,0.05594,0.98586,1,0.04887,0.000304021,0.000304021,0.000304021
31,1314.16,0.05836,0.98365,1,0.0465,0.000289884,0.000289884,0.000289884
32,1353.96,0.05243,0.98144,1,0.05362,0.000275747,0.000275747,0.000275747
33,1393.66,0.04785,0.98719,1,0.0446,0.00026161,0.00026161,0.00026161
34,1433.32,0.04215,0.98674,1,0.04717,0.000247472,0.000247472,0.000247472
35,1473.03,0.03982,0.98498,1,0.05177,0.000233335,0.000233335,0.000233335
36,1512.76,0.04084,0.98586,1,0.05146,0.000219198,0.000219198,0.000219198
37,1552.43,0.04058,0.98674,1,0.05355,0.000205061,0.000205061,0.000205061
38,1592.1,0.03513,0.98719,1,0.04874,0.000190924,0.000190924,0.000190924
39,1631.9,0.03705,0.98498,1,0.05323,0.000176786,0.000176786,0.000176786
40,1671.78,0.03044,0.98542,1,0.0521,0.000162649,0.000162649,0.000162649
41,1710.75,0.03913,0.98674,1,0.05136,0.000148512,0.000148512,0.000148512
42,1748.61,0.03502,0.98321,1,0.06136,0.000134375,0.000134375,0.000134375
43,1787.13,0.03269,0.98277,1,0.05651,0.000120238,0.000120238,0.000120238
44,1827.44,0.03912,0.98586,1,0.05331,0.0001061,0.0001061,0.0001061
45,1868.37,0.02122,0.98763,1,0.05137,9.19632e-05,9.19632e-05,9.19632e-05
46,1912.01,0.02234,0.98674,1,0.05553,7.7826e-05,7.7826e-05,7.7826e-05
47,1955.17,0.0239,0.98586,1,0.05907,6.36888e-05,6.36888e-05,6.36888e-05
48,1999.45,0.02237,0.98409,1,0.05791,4.95516e-05,4.95516e-05,4.95516e-05
49,2043.36,0.02365,0.98498,1,0.05942,3.54144e-05,3.54144e-05,3.54144e-05
50,2085.85,0.01957,0.98586,1,0.05949,2.12772e-05,2.12772e-05,2.12772e-05
