epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,31.5356,0.67905,0.92311,1,0.21637,0.00023764,0.00023764,0.00023764
2,60.9898,0.35174,0.94388,1,0.1617,0.000466222,0.000466222,0.000466222
3,90.1432,0.32277,0.94653,1,0.15721,0.00068538,0.00068538,0.00068538
4,117.784,0.3131,0.95669,1,0.1219,0.000671588,0.000671588,0.000671588
5,145.115,0.2866,0.95625,1,0.12022,0.000657451,0.000657451,0.000657451
6,171.957,0.26574,0.96067,1,0.12193,0.000643314,0.000643314,0.000643314
7,199.033,0.23906,0.96288,1,0.11538,0.000629177,0.000629177,0.000629177
8,226.028,0.2351,0.96907,1,0.09538,0.00061504,0.00061504,0.00061504
9,252.784,0.21697,0.95802,1,0.1196,0.000600902,0.000600902,0.000600902
10,280.003,0.21494,0.96421,1,0.10453,0.000586765,0.000586765,0.000586765
11,306.621,0.19685,0.96465,1,0.09849,0.000572628,0.000572628,0.000572628
12,332.684,0.1846,0.96818,1,0.09135,0.000558491,0.000558491,0.000558491
13,360.323,0.18688,0.96995,1,0.09086,0.000544354,0.000544354,0.000544354
14,387.884,0.17818,0.96642,1,0.09701,0.000530216,0.000530216,0.000530216
15,414.782,0.17547,0.96995,1,0.08899,0.000516079,0.000516079,0.000516079
16,441.493,0.16944,0.9673,1,0.09452,0.000501942,0.000501942,0.000501942
17,468.709,0.16187,0.96686,1,0.09057,0.000487805,0.000487805,0.000487805
18,495.622,0.15995,0.97084,1,0.08799,0.000473668,0.000473668,0.000473668
19,522.665,0.1507,0.97216,1,0.0792,0.00045953,0.00045953,0.00045953
20,549.592,0.1612,0.97304,1,0.07675,0.000445393,0.000445393,0.000445393
21,576.592,0.15142,0.9726,1,0.07808,0.000431256,0.000431256,0.000431256
22,603.715,0.14939,0.97172,1,0.07648,0.000417119,0.000417119,0.000417119
23,630.742,0.14056,0.97481,1,0.07343,0.000402982,0.000402982,0.000402982
24,657.606,0.14497,0.9726,1,0.07574,0.000388844,0.000388844,0.000388844
25,684.734,0.13907,0.97702,1,0.07097,0.000374707,0.000374707,0.000374707
26,711.653,0.12617,0.97481,1,0.07497,0.00036057,0.00036057,0.00036057
27,738.619,0.1271,0.97658,1,0.06943,0.000346433,0.000346433,0.000346433
28,765.837,0.12431,0.97614,1,0.06952,0.000332296,0.000332296,0.000332296
29,792.848,0.11853,0.97658,1,0.06307,0.000318158,0.000318158,0.000318158
30,819.941,0.11421,0.97702,1,0.0671,0.000304021,0.000304021,0.000304021
31,846.912,0.11371,0.97923,1,0.06839,0.000289884,0.000289884,0.000289884
32,874.157,0.11063,0.97614,1,0.07407,0.000275747,0.000275747,0.000275747
33,901.156,0.10453,0.97791,1,0.06813,0.00026161,0.00026161,0.00026161
34,928.28,0.10443,0.97835,1,0.06804,0.000247472,0.000247472,0.000247472
35,955.516,0.10055,0.97702,1,0.06869,0.000233335,0.000233335,0.000233335
36,982.571,0.10385,0.97791,1,0.06955,0.000219198,0.000219198,0.000219198
37,1009.62,0.10108,0.97923,1,0.06213,0.000205061,0.000205061,0.000205061
38,1036.64,0.09719,0.97835,1,0.06751,0.000190924,0.000190924,0.000190924
39,1063.76,0.09608,0.97879,1,0.0674,0.000176786,0.000176786,0.000176786
40,1090.83,0.09502,0.97746,1,0.06691,0.000162649,0.000162649,0.000162649
41,1123.18,0.09427,0.97702,1,0.06548,0.000148512,0.000148512,0.000148512
42,1154.58,0.08579,0.97835,1,0.06515,0.000134375,0.000134375,0.000134375
43,1185.7,0.08699,0.97835,1,0.06524,0.000120238,0.000120238,0.000120238
44,1214.98,0.0994,0.97835,1,0.06469,0.0001061,0.0001061,0.0001061
45,1242.83,0.07761,0.9757,1,0.06952,9.19632e-05,9.19632e-05,9.19632e-05
46,1269.19,0.07642,0.97835,1,0.06422,7.7826e-05,7.7826e-05,7.7826e-05
47,1295.65,0.08256,0.97791,1,0.0634,6.36888e-05,6.36888e-05,6.36888e-05
48,1322.03,0.07411,0.97746,1,0.0638,4.95516e-05,4.95516e-05,4.95516e-05
49,1348.36,0.07878,0.97658,1,0.06422,3.54144e-05,3.54144e-05,3.54144e-05
50,1374.62,0.07234,0.97746,1,0.06273,2.12772e-05,2.12772e-05,2.12772e-05
